Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
408,"CS Hutz, C Zanon","Revisão da apadtação, validação e normatização da escala de autoestima de Rosenberg",2011,"Avaliacao Psicológica: Interamerican Journal …","dialnet.unirioja.es","https://dialnet.unirioja.es/descarga/articulo/6674919.pdf","https://scholar.google.com/scholar?cites=5531174430174113321&as_sdt=2005&sciodt=2007&hl=en",815,"2022-08-23 11:14:09","PDF","","","",,,,,408,37.09,204,2,11,"RESUMO O objetivo deste estudo foi produzir normas de autoestima para crianças, adolescentes e adultos e atualizar as propriedades psicométricas da Escala de Autoestima …","https://dialnet.unirioja.es/descarga/articulo/6674919.pdf","https://scholar.google.com/scholar?q=related:KW5AvdatwkwJ:scholar.google.com/&scioq=source:%22avalia%C3%A7%C3%A3o+psicol%C3%B3gica%22&hl=en&as_sdt=2007"
372,"T Paschoal, A Tamayo","Construção e validação da escala de bem-estar no trabalho",2008,"Avaliação psicológica","redalyc.org","https://www.redalyc.org/pdf/3350/335027183004.pdf","https://scholar.google.com/scholar?cites=6583800512451683731&as_sdt=2005&sciodt=2007&hl=en",2,"2022-08-23 11:14:09","PDF","","","",,,,,372,26.57,186,2,14,"Este estudo teve como objetivo a construção e a validação de um instrumento para avaliar o bem-estar no trabalho. A hipótese básica foi de que o bem-estar no trabalho compreende …","https://www.redalyc.org/pdf/3350/335027183004.pdf","https://scholar.google.com/scholar?q=related:k6W3AK9bXlsJ:scholar.google.com/&scioq=source:%22avalia%C3%A7%C3%A3o+psicol%C3%B3gica%22&hl=en&as_sdt=2007"
293,"L Pasquali, R Primi","Fundamentos da teoria da resposta ao item: TRI",2003,"Avaliação Psicológica: Interamerican …","dialnet.unirioja.es","https://dialnet.unirioja.es/servlet/articulo?codigo=5115864","https://scholar.google.com/scholar?cites=2310936719243100029&as_sdt=2005&sciodt=2007&hl=en",323,"2022-08-23 11:14:09","","","","",,,,,293,15.42,147,2,19,"O artigo apresenta o histórico e a lógica básica da nova teoria em psicometria, a teoria de resposta ao item, abreviadamente a TRI. A teoria tem suas origens nos anos 1930, mas foi …","https://dialnet.unirioja.es/descarga/articulo/5115864.pdf","https://scholar.google.com/scholar?q=related:fT_kyLMYEiAJ:scholar.google.com/&scioq=source:%22avalia%C3%A7%C3%A3o+psicol%C3%B3gica%22&hl=en&as_sdt=2007"
235,"ALR Schleich, S Polydoro…","Escala de satisfação com a experiência acadêmica de estudantes do ensino superior",2006,"Avaliação Psicológica …","dialnet.unirioja.es","https://dialnet.unirioja.es/servlet/articulo?codigo=5115240","https://scholar.google.com/scholar?cites=12519753102419162505&as_sdt=2005&sciodt=2007&hl=en",330,"2022-08-23 11:14:09","","","","",,,,,235,14.69,78,3,16,"RESUMO O presente estudo teve como objetivo analisar os parâmetros psicométricos da Escala de Satisfação com a Experiência Acadêmica (ESEA). Os itens iniciais foram …","https://dialnet.unirioja.es/descarga/articulo/5115240.pdf","https://scholar.google.com/scholar?q=related:ifVJOR0Zv60J:scholar.google.com/&scioq=source:%22avalia%C3%A7%C3%A3o+psicol%C3%B3gica%22&hl=en&as_sdt=2007"
141,"AGS Capovilla, EC dos Santos Assef…","Avaliação neuropsicológica das funções executivas e relação com desatenção e hiperatividade",2007,"Avaliação psicológica","redalyc.org","https://www.redalyc.org/pdf/3350/335027181007.pdf","https://scholar.google.com/scholar?cites=15696170852309951355&as_sdt=2005&sciodt=2007&hl=en",6,"2022-08-23 11:14:09","PDF","","","",,,,,141,9.40,47,3,15,"Funções executivas (FE) referem-se à capacidade de engajamento em comportamento orientado a objetivos, realizando ações voluntárias e auto-organizadas. Alterações em tais …","https://www.redalyc.org/pdf/3350/335027181007.pdf","https://scholar.google.com/scholar?q=related:e2PGcToA1NkJ:scholar.google.com/&scioq=source:%22avalia%C3%A7%C3%A3o+psicol%C3%B3gica%22&hl=en&as_sdt=2007"
140,"VV Gouveia, VM Guerra, DMF de Sousa…","Escala de Desejabilidade Social de Marlowe-Crowne: evidências de sua validade fatorial e consistência interna",2009,"… Psicológica","redalyc.org","https://www.redalyc.org/pdf/3350/335027279008.pdf","https://scholar.google.com/scholar?cites=16096370852049638401&as_sdt=2005&sciodt=2007&hl=en",5,"2022-08-23 11:14:09","PDF","","","",,,,,140,10.77,35,4,13,"Esta pesquisa objetivou contribuir para a adaptação brasileira da Escala de Desejabilidade Social de Marlowe-Crowne (EDSMC), reunindo evidências de sua validade fatorial e …","https://www.redalyc.org/pdf/3350/335027279008.pdf","https://scholar.google.com/scholar?q=related:AdRe-QHMYd8J:scholar.google.com/&scioq=source:%22avalia%C3%A7%C3%A3o+psicol%C3%B3gica%22&hl=en&as_sdt=2007"
134,"MC Bardales, CC Perez-Aranibar","Afrontamiento al estrés: adaptación del cuestionario COPE en universitarios de Lima",2016,"… Evaluación-e Avaliação Psicológica","redalyc.org","https://www.redalyc.org/journal/4596/459653216010/movil/","https://scholar.google.com/scholar?cites=17546338822207899363&as_sdt=2005&sciodt=2007&hl=en",656,"2022-08-23 11:14:09","HTML","","","",,,,,134,22.33,67,2,6,"Se analizan las propiedades psicométricas del inventario de estimación del afrontamiento COPE de 60 ítems (Carver, Scheier, & Weintraub, 1989) al aplicarse en un grupo de 300 …","https://www.redalyc.org/journal/4596/459653216010/movil/","https://scholar.google.com/scholar?q=related:4wZZvjEegfMJ:scholar.google.com/&scioq=source:%22avalia%C3%A7%C3%A3o+psicol%C3%B3gica%22&hl=en&as_sdt=2007"
133,"K Moutinho, A Roazzi","As teorias da ação racional e da ação planejada: relações entre intenções e comportamentos",2010,"Avaliação psicológica","redalyc.org","https://www.redalyc.org/pdf/3350/335027283012.pdf","https://scholar.google.com/scholar?cites=11373151227792532183&as_sdt=2005&sciodt=2007&hl=en",7,"2022-08-23 11:14:09","PDF","","","",,,,,133,11.08,67,2,12,"RESUMO A Teoria da Ação Racional (TAR) vem sendo usada na psicologia especialmente para investigar os fatores preditores de comportamentos, como amamentar e doar órgãos …","https://www.redalyc.org/pdf/3350/335027283012.pdf","https://scholar.google.com/scholar?q=related:1yJfvciM1Z0J:scholar.google.com/&scioq=source:%22avalia%C3%A7%C3%A3o+psicol%C3%B3gica%22&hl=en&as_sdt=2007"
126,"D Sánchez-Teruel, MA Robles-Bello","Escala de resiliencia 14 ítems (RS-14): propiedades psicométricas de la versión en español",2015,"… -e Avaliação Psicológica","redalyc.org","https://www.redalyc.org/pdf/4596/459645432011.pdf","https://scholar.google.com/scholar?cites=2347242779908823469&as_sdt=2005&sciodt=2007&hl=en",295,"2022-08-23 11:14:09","PDF","","","",,,,,126,18.00,63,2,7,"La resiliencia se ha convertido en una fusión de ideas a partir de múltiples tradiciones disciplinarias, entre ellas la estabilidad de los ecosistemas (Holling, 1973; Gunderson …","https://www.redalyc.org/pdf/4596/459645432011.pdf","https://scholar.google.com/scholar?q=related:rdkQQt8UkyAJ:scholar.google.com/&scioq=source:%22avalia%C3%A7%C3%A3o+psicol%C3%B3gica%22&hl=en&as_sdt=2007"
121,"VC Góngora, MM Casullo","Validación de la escala de autoestima de Rosenberg en población general y en población clínica de la Ciudad de Buenos Aires",2009,"… y Evaluación-e Avaliação Psicológica","redalyc.org","https://www.redalyc.org/pdf/4596/459645443010.pdf","https://scholar.google.com/scholar?cites=9578666592482315555&as_sdt=2005&sciodt=2007&hl=en",296,"2022-08-23 11:14:09","PDF","","","",,,,,121,9.31,61,2,13,"El objetivo de este estudio es evaluar las propiedades psicométricas de la escala de autoestima de Rosenberg en población general y clínica de la Ciudad de Buenos Aires. La …","https://www.redalyc.org/pdf/4596/459645443010.pdf","https://scholar.google.com/scholar?q=related:I03PEoRC7oQJ:scholar.google.com/&scioq=source:%22avalia%C3%A7%C3%A3o+psicol%C3%B3gica%22&hl=en&as_sdt=2007"
